text,rating,label
My niece used these in slime and had so much fun with them.,5,CG
"Pro Tip, check research the tv's VESA layout before you buy it and find a matching mount if you are buying for a RV/Travel Trailer. I bought a nice tv from costco, but it had a very uncommon vesa layout and could not find a decent mount, even a non articulating one (would have been fine with a fixed one, actually would have preferred). Ended up returning it and going with a different tv that had a more common vesa layout. I went with this mount because you can only use two screws in a vertical line, who knows whats behind the sheeting in a travel trailer so i didn't want to have to go with a wide multi stud mount.  this one fit the bill and works perfectly.",5,CG
Really liked this camera except it was a little too small for my fingers to operate. I didn't have it more than a month or two when i loaned it to my grandson & he managed to lose it. Otherwise it took great pictures. I have now just purchased a  Powershot sx500.will be sure not to loan this one.will let you know how i like it when i get it,4,OR
"I love it! It looks great in our entryway and despite the abuse from my boys, it's fine!",5,OR
Was a great gift Was easy to use,5,CG
Wonderful book with fantastic illustrations! I never really realized all of the hard work an athlete endures everyday.,5,OR
"Perhaps I misread the description, but I was under the impression that this included multiple items unicorn related.  Instead there is one unicorn board game and one small, simple book.  These are good items, just not as much as I expected.  The plurals in the titles implied multiple games, books, activities.  Anyway, moving on, the board game looks ok but has not been tested yet by my grandchildren. If it is not satisfactory, I will update later.  The book is simple for them to read and appears attractive with appealing  illustrations, but will not keep their attention for long.  I'm just hopeful the game engages them.",4,OR
"I really liked this puzzle.  It was a little bit smaller than I thought it would be, but it's not the size I thought it would be,",5,OR
"Good build quality and responsive keys. The RGB lighting is customizable, and the keyboard feels durable. However, the software is not very intuitive. A great choice for those looking for an affordable mechanical keyboard.",4,OR
Not what I expected and it has the quality and quality of a lot of other products.,3,OR
I use this to gain a better grip when play disc golf but I put a bit on a old rag then carry that in a zip lock bag so it's not so messy,5,OR
"this bota bag is awsome , perfect size , strong strap , really well made . a true spanish product , (no chinese knock off here) . easy to fill , and drink from , water or wine . a great buy .",5,OR
Very standard drywall patch that you can buy from the big box stores.,5,OR
"love it. charges fast. really fast. really really fast :) When plugged in, and in use (screen on), it still charges, unlike previous adapters i used that died on me on long drives even though they were plugged in and charging.",5,OR
"Outstanding styling; I wish the forward screw was a pan head as it can rub against your head band. Going to be stocking stuffers for my kids if they don't sneak mine away first.  [edit] Seller continuously hounds you with e-mails for reviews to the point that I have had to create a SPAM filter for their e-mails. I understand checking in to make sure I'm happy - and to perhaps encourage me to write a review. But (1) A single e-mail will do, and (2) I've bought from them before. So they have a review. They should know that.  So the product is great but buy knowing they'll hound / spam you with e-mails.",4,OR
"Replaced an Arock board, that had an AC adapter, which was a nice upgrade.",5,OR
Nice hard-sided bag. Zippers run smoothly and it attaches snugly to my Schwinn Tall Trails 29er. It doesn't seem to slip around even when loaded unequally. Inside the roomy pouches there are elastic loops and mesh pockets to help secure small items.,5,OR
"Provides a detailed and compelling account of a wrongful conviction in the American justice system. The writing is engaging, and the story is both infuriating and fascinating. A must-read for true crime enthusiasts and those interested in legal reform.",4,OR
Comfortable and provides good support for long hikes. The ventilation keeps feet cool.,5,OR
"I lost the sound in my old computer. I've tried a lot of different products and they all worked fine. I am using this with the TRS-80 and it's just as good as the old one I had. I would recommend this to anyone who needs a new laptop. Works great. I did not want the cable to fall out of the charger. I didn't want the cable to be bent over and on my desk. It's very easy to insert and close the charger. You can use the cable as a micro USB cable, or just plug it into a wall outlet. I like this case because it has the included charger that you plug into the wall outlet. It's a bit small to carry around and I don't have to worry about it falling off the charger.",5,OR
"Matches my silver computer. Easy to adjust, sturdy and space-saving.",5,OR
"I don't usually write reviews, but I thought this was a really good book. I was just blown",5,CG
"This sprayer does what it should, but it's made from very slick coated plastic so hard to handle with soapy hands.  Plus the hose is molded plastic rather than a metal sheath so doesn't want to lose the kinks inflicted in packaging so far.  But for the money I would recommend it without hesitation.",4,OR
I really love these shoes. They are comfortable and look great. My husband wears them almost every day,5,OR
"These jeans are fantastic! The high-waisted design is very flattering and the material is stretchy yet retains its shape throughout the day. The color hasn't faded after several washes, and they look great dressed up or down. Finding a pair of jeans that fit well and are comfortable is tough, but these have become a staple in my wardrobe. Worth every penny!",5,OR
Provides lots of laughs. The pooping feature is funny and entertaining for kids. The toy is well-made but the novelty may wear off after a while.,4,OR
Love this. One of the few organic cat foods. All seven of the cats in my house like this. Plus with Newman's products a portion of the proceeds always go to charity.,5,OR
I enjoyed the letters.  They were easy to follow and I did not need to read them every time.  I had to read them,5,OR
"I like it.  It's healthy for my Sam.  And delivered with no extra charge right to the door.  It's not any less expensive per can than at Tractor Supply but I don't have to stop and get it -- and so far, it's never out of stock.",4,OR
"1984 by George Orwell is a novel, with a distinctively dystopian plot that makes the reader feel as if they are the protagonists. The characters are complex, and the plots are very interesting.  The novel is in many ways a reflection of the American political scene. Its almost eerie, and a bit depressing at times, and it is a great way to introduce a new generation of readers to the subject matter of dystopian literature. But the novel is also an interesting introduction to a new generation of readers to dystopian literature. The novel is a fun, quirky read, with plenty of twists and turns.  In short, it is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read. It is a fun, quirky read.",5,OR
Amplifies ambient sound while protecting from loud noises. Very comfortable to wear.,5,OR
"Blends fantasy and heist elements in a clever, fast-paced narrative. The world-building is immersive, and the dialogue is sharp and witty. While some plot twists are predictable, it's overall an entertaining and engaging read.",4,OR
"I have a dog that likes to look at the window this is in my new home. and also a dryer that opens up right against a door, so it protects frm the scratch.",5,CG
Comfortable fabric. Don't know if it will be as long as I thought.,4,OR
Strayed's memoir is a deeply moving account of her solo hike along the Pacific Crest Trail. Her candid reflections on her personal struggles and the healing power of nature make it a powerful and inspiring read.,5,OR
Works well and is very durable. Perfect for tough jobs.,5,OR
Each episode felt like it was trying too hard to be profound but just ended up being dull.,2,CG
Slow and repetitive on the cop side.  The other side is mostly pornography. Not a fan of this book.,2,CG
"I purchased one of these at Wal-Mart for $10.00. In my 50's now I always wanted to have one. I don't know why some people had issues or put it down. First off I sent for the ants which cost another $5.00 for S&H right through the website. It took 10 days to receive them, keep in mind if you live somewhere it's cold or too hot you will wait longer. After receiving the ants, only one dead one, I followed the instructions closely. First making 4 starter tunnles with the tool and then cooling down the ants in the fridge for 15 minutes then putting them in. It took less the 24 hours and the ants started working. Each ant has different jobs. Some dig, some remove debris and some just stand guard near the lid. Someone reviewed it didn't light up well; maybe they didn't put batteries in it! Mine lighted up well! The only hard part to this is the fact you have to put the whole farm in the refrigerator for at least 75 minutes to slow the ants up to clean out the debris as they are very fast and will try to escape. I have it 3 weeks so far and lost maybe 5 ants as they do die off and do not lay eggs since there is no queen. Like any other creature sometimes they dig other times they rest.  I do believe its fun to watch and well worth the 10 bucks. I guess I'm a kid at heart, get one and enjoy the fun!",4,OR
"Comfort is very important as you get older, especially as things begin to ache and hurt. And since sleep has eluded me for several years, I have found that it is the quality of the rest, not necessarily the quantity of rest that is important. This Ichrysania bamboo body pillow is soft, fluffy and plush.  I love the quilted design.  You can cuddle with it, read a book on it or watch TV. You can unzip the body to remove or add filling. I selected the gray one that I thought would not show dirt, but will probably order a cover. And finally, this pillow is machine washable. Overall, this is a welcomed addition to my relaxation regime.",4,OR
"This works well enough but it takes a long time to set up. My dog loves this treat. I bought this for a friend who has a small dog and she had a very sensitive stomach. She had severe diarrhea in the past, and had been eating her food for a few months. This food is a good product and I'm very happy with it. It has great ingredients and my dogs love it. I used this for two years and it has held up very well.",4,OR
"This is the first Harry Potter book I've read in a long time, and I'm pretty sure that's not the best. The characters are complex, and",5,OR
I miss the stair counter because I was able to lose 50 pounds by climbing stairs during a very snowy winter and logging my food.,4,CG
