title,text,rating,timestamp,item_title,category,label,images
An unforgettable love story,"I read this in book form years ago, and enjoyed it again on my Kindle Fire pad.  Too bad every one cannot have a love like this.",5,25/05/2022 07:19,The Notebook,Books,OR,
You need a magnifying glass to read the words,"Luckily for me, I have a magnifying glass. Even with my glasses on I can’t see these words. If you are going to order this book, order a magnifying glass with it. To small I would not recommend.",2,03/02/2023 15:41,"Merriam-Webster's Dictionary and Thesaurus, Newest Edition, Mass-Market Paperback",Books,OR,
Content,Great book,5,23/11/2022 00:24,CIA World Factbook 2022-2023,Books,OR,
Every vegans dream,This book has so many yummy and pretty easy to make recipes that any vegan(or even non-vegan) would die to eat!,5,02/11/2022 15:49,"Vegan Fast Food: Copycat Burgers, Tacos, Fried Chicken, Pizza, Milkshakes, and More!",Books,OR,
"Made me cry. made me laugh, made me sad!","This review is for Prince Harry: I loved your book, it made me cry, it made me laugh, but mostly made me very sad. You've been trying so hard for so long to find the TRUTH, but looking in all the wrong places. I can say this Harry because I'm a nobody, average American living in Florida, nearly twice your age and with years of ""Inner Healing"" experience: Harry, you need a SOZO. You are dealing with unresolved trauma that may have even begun in vitro. And Harry, you can be healed once and for all, set free to live your life as God intended. This is not counseling, this is inner healing ministry and you are living in the perfect place, where Bethel Sozo began (see ""bethelsozo.com"") in 1997. Interesting coincidence? The word SOZO is Greek and is used 110 times in the New Testament and it means to ""MAKE WHOLE"", also to save, deliver, heal and preserve. Unresolved Trauma creates walls, divisions and segmentation in your life, that is why parts of your memory just disappear. SOZO uncovers these traumas and other injuries caused by the lies we have believed and replaces them with the TRUTH. There is only one source of truth and only He can set you free and make you ""Complete"". Your Grandmother had a very special relationship with our Creator and her Reign reflects those blessings poured out on the House of Windsor and all of Britain because of that relationship. Was she perfect? no. Did she make mistakes? of course, she was human. But I believe God has spoken and put His arms around Queen Elizabeth ll and said ""job well done, My good and faithful servant"". Her Monarchy is over, but Harry you've just begun and have much to do to fulfill your destiny. I pray that Father God would guide your heart in it's search for Truth, that you may be ""Made Whole"" and available to continue your service to Him. Harry, be so blessed!",5,05/02/2023 03:23,Spare,Books,OR,
It is a novel that deals with a major crisis in ancient Rome,Although interested in the subject matter I found the novel slow going and never finished it.,3,11/11/2022 22:57,Catilina's Riddle: A Novel of Ancient Rome (Novels of Ancient Rome),Books,OR,
Awful and disturbing,Terrible story. Very disturbing to read. Nothing enjoyable about this book. Would not recommend it. It’s terrible that they make kids read this in school.,1,16/02/2023 22:02,"Gathering Blue (Giver Quartet) (Giver Quartet, 2)",Books,OR,
Lot Of Hype; No Real Pics Of Keyes,"Am about 2/3rds thru this book and really don't understand either the ""selling"" of Keyes as ""the most ambitious and terrifying serial killer in modern history"", or the praise lauded on the author for her portrayal of his story.  Not to belittle the seriousness of the man's crimes, there is nothing particularly instructive about this book - no greater insight into the predator mindset - or no ""record-setting"" numbers of murders.  And except for what I assume is a partial picture of Keyes on the cover, there are no pictures of him.  This is a mediocre story of a less than mediocre human being.",1,18/06/2022 06:41,American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century,Books,OR,
"""Mystery""? ""Thriller""? ….not really.","""Mystery""? ""Thriller""? ….not really. There's extended periods of contrived action - annoyingly told from different aspects of the same situation - but additionally diluted by l-o-n-g descriptions of architecture, scenery, furnishings; reminiscing, back stories  … ad infinitum.. Plus it's another of those books where stone cold killers kill anyone and everyone - except what the author would consider to be good guys and gals … coupled with a series of silly scenarios and contrived situations with - seemingly - the only intent being to increase the word count.",3,20/07/2022 07:25,"Steel Justice: A Jack Steel Action Mystery Thriller, Book 3 (A Jack Steel Thriller)",Books,OR,
Best vet book ever,Very  informative,5,31/10/2022 20:23,Plumb's Veterinary Drug Handbook: Pocket,Books,OR,
